"Snapdragon 8 Elite (Gen 4)
"Kirin 980
HiSilicon","38
 B",592373,834 / 2128,"8
 (2+2+4)",2600 MHz,Mali-G76 MP10
"Dimensity 6400
MediaTek","36
 B",446033,803 / 2159,"8
 (2+6)",2500 MHz,Mali-G57 MP2
"Unisoc T8300
Unisoc","35
 B",479599,752 / 2209,"8
 (2+6)",2200 MHz,Mali-G57 MP2
"Dimensity 800
MediaTek","34
 C",481286,638 / 2255,"8
 (4+4)",2000 MHz,Mali-G57 MP4
"Dimensity 6080
MediaTek","35
 B",436846,767 / 2057,"8
 (2+6)",2400 MHz,Mali-G57 MP2
"Dimensity 6300
MediaTek","35
 B",422141,782 / 2012,"8
 (2+6)",2400 MHz,Mali-G57 MP2
"Exynos 1280
Samsung","34
 C",477316,851 / 1913,"8
 (2+6)",2400 MHz,Mali-G68 MP4
"Helio G100
MediaTek","34
 C",429591,733 / 2028,"8
 (2+6)",2200 MHz,Mali-G57 MP2
"Kirin 820
HiSilicon","37
 B",494513,788 / 1972,"8
 (1+3+4)",2360 MHz,Mali-G57 MP6
"Kirin 810
HiSilicon","33
 C",429415,770 / 1983,"8
 (2+6)",2270 MHz,Mali-G52 MP6
"Dimensity 810
MediaTek","34
 C",421890,780 / 1940,"8
 (2+6)",2400 MHz,Mali-G57 MP2
"Exynos 980
Samsung","34
 C",430012,861 / 1858,"8
 (2+6)",2200 MHz,Mali-G76 MP5
"Snapdragon 480 Plus
Qualcomm","33
 C",390749,862 / 1857,"8
 (2+6)",2200 MHz,Adreno 619
"Snapdragon 4 Gen 1
Qualcomm","34
 C",414885,837 / 1875,"8
 (2+6)",2000 MHz,Adreno 619
"Helio G99
MediaTek","33
 C",421361,729 / 1979,"8
 (2+6)",2200 MHz,Mali-G57 MP2
"Snapdragon 4s Gen 2
Qualcomm","33
 C",376951,825 / 1869,"8
 (2+6)",2000 MHz,-
"Snapdragon 690
Qualcomm","32
 C",382798,792 / 1889,"8
 (2+6)",2000 MHz,Adreno 619
"Dimensity 6100 Plus
MediaTek","33
 C",392912,728 / 1938,"8
 (2+6)",2200 MHz,Mali-G57 MP2
"Dimensity 6020
MediaTek","33
 C",406049,732 / 1924,"8
 (2+6)",2200 MHz,Mali-G57 MP2
"Snapdragon 765G
Qualcomm","35
 B",423270,797 / 1844,"8
 (1+1+6)",2400 MHz,Adreno 620
